Date,Hour,sellFullPlannedVolume
2012-01-30,0,96783.391
2012-01-30,1,94686.906
2012-01-30,2,93651.562
2012-01-30,3,93977.531
2012-01-30,4,95605.367
2012-01-30,5,97693.898
2012-01-30,6,102950.609
2012-01-30,7,108423.336
2012-01-30,8,113189.430
2012-01-30,9,115127.203
2012-01-30,10,114736.602
2012-01-30,11,113403.461
2012-01-30,12,113767.594
2012-01-30,13,114102.297
2012-01-30,14,113635.203
2012-01-30,15,112332.680
2012-01-30,16,112224.742
2012-01-30,17,113314.969
2012-01-30,18,115326.430
2012-01-30,19,114926.781
2012-01-30,20,112720.727
2012-01-30,21,110340.289
2012-01-30,22,106196.031
2012-01-30,23,101282.766
2012-01-31,0,98545.297
2012-01-31,1,96355.906
2012-01-31,2,95314.250
2012-01-31,3,95657.109
2012-01-31,4,97297.727
2012-01-31,5,99321.602
2012-01-31,6,104715.266
2012-01-31,7,109972.539
2012-01-31,8,114614.016
2012-01-31,9,116164.148
2012-01-31,10,115742.320
2012-01-31,11,114987.258
2012-01-31,12,114968.617
2012-01-31,13,115134.203
2012-01-31,14,114214.500
2012-01-31,15,112860.148
2012-01-31,16,112719.781
2012-01-31,17,113938.570
2012-01-31,18,115905.398
2012-01-31,19,115503.141
2012-01-31,20,113187.180
2012-01-31,21,111005.203
2012-01-31,22,107110.492
2012-01-31,23,102119.711
2012-02-01,0,99430.562
2012-02-01,1,97175.117
2012-02-01,2,96112.055
2012-02-01,3,96965.977
2012-02-01,4,98578.320
2012-02-01,5,100686.609
2012-02-01,6,105961.969
2012-02-01,7,111584.453
2012-02-01,8,115854.633
2012-02-01,9,117537.969
2012-02-01,10,117287.633
2012-02-01,11,116552.273
2012-02-01,12,116647.695
2012-02-01,13,116723.406
2012-02-01,14,116415.438
2012-02-01,15,115540.820
2012-02-01,16,114155.531
2012-02-01,17,115077.172
2012-02-01,18,116865.664
2012-02-01,19,116742.617
2012-02-01,20,114537.867
2012-02-01,21,112581.484
2012-02-01,22,108541.578
2012-02-01,23,103643.023
2012-02-02,0,100635.570
2012-02-02,1,98318.125
2012-02-02,2,97285.883
2012-02-02,3,97653.680
2012-02-02,4,99088.203
2012-02-02,5,101108.836
2012-02-02,6,107203.320
2012-02-02,7,112463.750
2012-02-02,8,116782.297
2012-02-02,9,118760.367
2012-02-02,10,118591.570
2012-02-02,11,117386.898
2012-02-02,12,117067.148
2012-02-02,13,116929.516
2012-02-02,14,116368.398
2012-02-02,15,115867.078
2012-02-02,16,114925.977
